date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:04	43237/43237	---M-Z	200	added ('OK')	application/javascript	etag:%22a8e5-57f4d37fba000-gzip%22	https://preview.colorlib.com/theme/sogo/js/owl.carousel.min.js	E:/viv/preview.colorlib.com/theme/sogo/js/owl.carousel.min.js	(from https://preview.colorlib.com/theme/sogo/)
11:49:05	12597/12597	---M-Z	200	added ('OK')	application/javascript	etag:%223135-57f4d3753c740-gzip%22	https://preview.colorlib.com/theme/sogo/js/jquery.stellar.min.js	E:/viv/preview.colorlib.com/theme/sogo/js/jquery.stellar.min.js	(from https://preview.colorlib.com/theme/sogo/)
11:49:06	61513/61513	---M-Z	200	added ('OK')	application/javascript	etag:%22f049-57f4d373542c0-gzip%22	https://preview.colorlib.com/theme/sogo/js/jquery.fancybox.min.js	E:/viv/preview.colorlib.com/theme/sogo/js/jquery.fancybox.min.js	(from https://preview.colorlib.com/theme/sogo/)
11:49:07	12414/12414	---MCZ	200	added ('OK')	application/javascript	etag:W/%22309e-57f4d36229a40-gzip%22	https://preview.colorlib.com/theme/sogo/js/aos.js	E:/viv/preview.colorlib.com/theme/sogo/js/aos.js	(from https://preview.colorlib.com/theme/sogo/)
11:49:07	33269/33269	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b6e4-57f4d36bb30c0-gzip%22	https://preview.colorlib.com/theme/sogo/js/bootstrap-datepicker.js	E:/viv/preview.colorlib.com/theme/sogo/js/bootstrap-datepicker.js	(from https://preview.colorlib.com/theme/sogo/)
11:49:08	15764/15764	---M-Z	200	added ('OK')	application/javascript	etag:%223d94-57f4d3753c740-gzip%22	https://preview.colorlib.com/theme/sogo/js/jquery.timepicker.min.js	E:/viv/preview.colorlib.com/theme/sogo/js/jquery.timepicker.min.js	(from https://preview.colorlib.com/theme/sogo/)
11:49:09	3018/3018	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210a8-57f4d3790d040-gzip%22	https://preview.colorlib.com/theme/sogo/js/main.js	E:/viv/preview.colorlib.com/theme/sogo/js/main.js	(from https://preview.colorlib.com/theme/sogo/)
11:49:09	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Mar%202021%2008:49:28%20GMT	https://preview.colorlib.com/theme/sogo/css/owl.video.play.png	E:/viv/preview.colorlib.com/theme/sogo/css/owl.video.play.png	(from https://preview.colorlib.com/theme/sogo/css/owl.carousel.min.css)
11:49:11	120724/120724	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d794-57f4d4c5e2180%22	https://preview.colorlib.com/theme/sogo/fonts/ionicons/fonts/ionicons.eot?v=2.0.0	E:/viv/preview.colorlib.com/theme/sogo/fonts/ionicons/fonts/ionicons28b5.eot	(from https://preview.colorlib.com/theme/sogo/fonts/ionicons/css/ionicons.min.css)
11:49:14	67904/67904	---M--	200	added ('OK')	font/woff	etag:%2210940-57f4d4d6187c0%22	https://preview.colorlib.com/theme/sogo/fonts/ionicons/fonts/ionicons.woff?v=2.0.0	E:/viv/preview.colorlib.com/theme/sogo/fonts/ionicons/fonts/ionicons28b5.woff	(from https://preview.colorlib.com/theme/sogo/fonts/ionicons/css/ionicons.min.css)
11:49:14	188508/188508	---MCZ	200	added ('OK')	font/ttf	etag:W/%222e05c-57f4d4d70ca00%22	https://preview.colorlib.com/theme/sogo/fonts/ionicons/fonts/ionicons.ttf?v=2.0.0	E:/viv/preview.colorlib.com/theme/sogo/fonts/ionicons/fonts/ionicons28b5.ttf	(from https://preview.colorlib.com/theme/sogo/fonts/ionicons/css/ionicons.min.css)
11:49:15	333834/333834	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225180a-57f4d4c9b2a80%22	https://preview.colorlib.com/theme/sogo/fonts/ionicons/fonts/ionicons.svg?v=2.0.0	E:/viv/preview.colorlib.com/theme/sogo/fonts/ionicons/fonts/ionicons28b5.svg	(from https://preview.colorlib.com/theme/sogo/fonts/ionicons/css/ionicons.min.css)
11:49:18	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-57f4d4a75d980%22	https://preview.colorlib.com/theme/sogo/fonts/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	E:/viv/preview.colorlib.com/theme/sogo/fonts/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://preview.colorlib.com/theme/sogo/fonts/fontawesome/css/font-awesome.min.css)
11:49:18	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-57f4d46b48bc0%22	https://preview.colorlib.com/theme/sogo/fonts/fontawesome/fonts/fontawesome-webfont.eot?v=4.7.0	E:/viv/preview.colorlib.com/theme/sogo/fonts/fontawesome/fonts/fontawesome-webfont3e6e.eot	(from https://preview.colorlib.com/theme/sogo/fonts/fontawesome/css/font-awesome.min.css)
11:49:18	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-57f4d46b48bc0%22	https://preview.colorlib.com/theme/sogo/fonts/fontawesome/fonts/fontawesome-webfont.eot?	E:/viv/preview.colorlib.com/theme/sogo/fonts/fontawesome/fonts/fontawesome-webfontd41d.eot	(from https://preview.colorlib.com/theme/sogo/fonts/fontawesome/css/font-awesome.min.css)
11:49:20	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2217ee8-57f4d49bebe80%22	https://preview.colorlib.com/theme/sogo/fonts/fontawesome/fonts/fontawesome-webfont.woff?v=4.7.0	E:/viv/preview.colorlib.com/theme/sogo/fonts/fontawesome/fonts/fontawesome-webfont3e6e.woff	(from https://preview.colorlib.com/theme/sogo/fonts/fontawesome/css/font-awesome.min.css)
11:49:21	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Mar%202021%2008:49:40%20GMT	https://preview.colorlib.com/theme/sogo/img/round.png	E:/viv/preview.colorlib.com/theme/sogo/img/round.png	(from https://preview.colorlib.com/theme/sogo/css/style.css)
11:49:22	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226c7db-57f4d49262800%22	https://preview.colorlib.com/theme/sogo/fonts/fontawesome/fonts/fontawesome-webfont.svg?v=4.7.0	E:/viv/preview.colorlib.com/theme/sogo/fonts/fontawesome/fonts/fontawesome-webfont3e6e.svg	(from https://preview.colorlib.com/theme/sogo/fonts/fontawesome/css/font-awesome.min.css)
11:49:22	165548/165548	---MCZ	200	added ('OK')	font/ttf	etag:W/%22286ac-57f4d488d9180%22	https://preview.colorlib.com/theme/sogo/fonts/fontawesome/fonts/fontawesome-webfont.ttf?v=4.7.0	E:/viv/preview.colorlib.com/theme/sogo/fonts/fontawesome/fonts/fontawesome-webfont3e6e.ttf	(from https://preview.colorlib.com/theme/sogo/fonts/fontawesome/css/font-awesome.min.css)
11:49:44	1267715/1267715	---M--	200	added ('OK')	image/jpeg	etag:%22141475-57f4d315de640%22	https://preview.colorlib.com/theme/sogo/images/img_4.jpg	E:/viv/preview.colorlib.com/theme/sogo/images/img_4.jpg	(from https://preview.colorlib.com/theme/sogo/events.html)
